Genre,Mood,Popularity_Score,Release_Date,Customer_Rating,Play_Count,Economic_Indicator,Age,Gender,Ad_Listener,Premium_Subscription,Revenue,Listening_History,Search_History,Playlist_Additions,Liked_Tracks,Skipped_Tracks,Location,Event_Influence,Friends_Popular_Tracks,Viral_Status,ReleaseYear,Age_Group
Blues,Energetic,99,2010-01-11,5,728,0.749464626,64,Others,Yes,No,3.023185729,Coldplay - Yellow,Lofi tracks,Coldplay - Yellow,Billie Eilish - Bad Guy,Ed Sheeran - Galway Girl,Tokyo,Coachella 2022,Coldplay - Yellow,Yes,2010,61-70
Jazz,Melancholic,67,2010-01-12,1,1026,1.831434636,31,Female,Yes,Yes,9.223213675,Imagine Dragons - Believer,Pop genre,Imagine Dragons - Believer,Taylor Swift - Blank Space,Drake - Hotline Bling,LA,Coachella 2022,Taylor Swift - Willow,No,2010,31-40
Reggae,Melancholic,64,2010-01-13,1,1230,0.98213501,64,Non-Binary,Yes,No,3.527044019,Taylor Swift - Love Story,Lofi tracks,Taylor Swift - Shake it Off,Taylor Swift - Blank Space,Justin Bieber - Baby,London,Oscar-winning movie soundtrack,Coldplay - Yellow,No,2010,61-70
Country,Relaxed,4,2010-01-14,4,1149,-1.344082461,48,Others,Yes,No,1.168853999,Queen - Bohemian Rhapsody,Beatles,The Beatles - Hey Jude,The Beatles - Hey Jude,Ed Sheeran - Galway Girl,Tokyo,Local Concert,Billie Eilish - Bad Guy,No,2010,41-50
Rock,Energetic,19,2010-01-15,2,641,-1.826958468,39,Others,No,Yes,8.479296106,Queen - Bohemian Rhapsody,Pop genre,Queen - Bohemian Rhapsody,Taylor Swift - Blank Space,Imagine Dragons - Thunder,Tokyo,Coachella 2022,Coldplay - Yellow,No,2010,31-40
R&B/Soul,Energetic,3,2010-01-16,1,1404,0.034271242,53,Female,No,No,0.695274295,Queen - Bohemian Rhapsody,Pop genre,Taylor Swift - Shake it Off,Coldplay - Yellow,Ed Sheeran - Galway Girl,London,Billboard Top 50,Queen - Bohemian Rhapsody,No,2010,51-60
Classical,Relaxed,85,2010-01-17,1,1094,1.71079105,56,Female,Yes,No,3.334225736,Taylor Swift - Love Story,Taylor Swift,Adele - Hello,Queen - Bohemian Rhapsody,Imagine Dragons - Thunder,Tokyo,Billboard Top 50,Queen - Bohemian Rhapsody,No,2010,51-60
Pop,Energetic,42,2010-01-18,1,506,1.671619957,43,Female,Yes,Yes,12.57210219,Taylor Swift - Love Story,Beatles,Adele - Hello,Queen - Bohemian Rhapsody,Imagine Dragons - Thunder,Tokyo,Local Concert,Adele - Hello,Yes,2010,41-50
Hip-Hop/Rap,Energetic,82,2010-01-19,4,719,-1.681675969,13,Non-Binary,Yes,Yes,5.773652303,Imagine Dragons - Believer,Beatles,Taylor Swift - Shake it Off,Ed Sheeran - Shape of You,Cardi B - WAP,Tokyo,Grammys 2023,Adele - Hello,No,2010,0-18
Blues,Relaxed,15,2010-01-20,3,1449,-0.390219484,17,Non-Binary,No,No,1.730458686,Coldplay - Yellow,Taylor Swift,Adele - Hello,Coldplay - Yellow,Drake - Hotline Bling,Paris,Billboard Top 50,Taylor Swift - Willow,No,2010,0-18
R&B/Soul,Melancholic,40,2010-01-21,3,1371,-1.92516225,51,Non-Binary,No,No,1.677657211,Coldplay - Yellow,Lofi tracks,Queen - Bohemian Rhapsody,Queen - Bohemian Rhapsody,Drake - Hotline Bling,LA,Billboard Top 50,Coldplay - Yellow,No,2010,51-60
Reggae,Relaxed,72,2010-01-22,5,343,1.870286762,54,Male,Yes,Yes,6.823234723,Coldplay - Yellow,Taylor Swift,Taylor Swift - Shake it Off,Coldplay - Yellow,Cardi B - WAP,Tokyo,Oscar-winning movie soundtrack,Taylor Swift - Willow,No,2010,51-60
Reggae,Melancholic,6,2010-01-23,1,461,1.320075064,39,Non-Binary,Yes,No,1.523013338,Imagine Dragons - Believer,Lofi tracks,Queen - Bohemian Rhapsody,The Beatles - Hey Jude,Cardi B - WAP,LA,Grammys 2023,Taylor Swift - Willow,No,2010,31-40
Blues,Energetic,33,2010-01-24,4,521,-1.970364667,25,Others,Yes,No,1.262409819,The Beatles - Hey Jude,Beatles,Queen - Bohemian Rhapsody,Ed Sheeran - Shape of You,Drake - Hotline Bling,Paris,Billboard Top 50,Adele - Hello,No,2010,19-30
Reggae,Melancholic,78,2010-01-25,2,66,-1.738724767,55,Non-Binary,Yes,Yes,14.23508181,Taylor Swift - Love Story,Taylor Swift,Adele - Hello,Queen - Bohemian Rhapsody,Ed Sheeran - Galway Girl,Paris,Oscar-winning movie soundtrack,Queen - Bohemian Rhapsody,No,2010,51-60
Electronic/Dance,Relaxed,84,2010-01-26,1,1446,-0.008823873,14,Non-Binary,Yes,No,1.712924525,Queen - Bohemian Rhapsody,Beatles,Coldplay - Yellow,Queen - Bohemian Rhapsody,Imagine Dragons - Thunder,Paris,Billboard Top 50,Taylor Swift - Willow,No,2010,0-18
Country,Relaxed,87,2010-01-27,1,1224,-0.354708137,44,Others,Yes,Yes,5.679040302,Adele - Hello,Lofi tracks,Coldplay - Yellow,The Beatles - Hey Jude,Imagine Dragons - Thunder,London,Coachella 2022,Imagine Dragons - Believer,No,2010,41-50
Country,Energetic,96,2010-01-28,5,1013,1.373988892,17,Female,Yes,No,2.909672297,Taylor Swift - Love Story,Beatles,Queen - Bohemian Rhapsody,Queen - Bohemian Rhapsody,Drake - Hotline Bling,London,Oscar-winning movie soundtrack,Coldplay - Yellow,No,2010,0-18
Classical,Energetic,38,2010-01-29,4,610,-1.643735989,65,Female,Yes,No,0.571380773,Imagine Dragons - Believer,Taylor Swift,Imagine Dragons - Believer,Ed Sheeran - Shape of You,Drake - Hotline Bling,NY,Local Concert,Imagine Dragons - Believer,No,2010,61-70
Rock,Relaxed,96,2010-01-30,3,400,0.798608424,58,Male,No,Yes,10.32165037,Coldplay - Yellow,Beatles,Coldplay - Yellow,Queen - Bohemian Rhapsody,Drake - Hotline Bling,LA,Coachella 2022,Coldplay - Yellow,No,2010,51-60
Blues,Melancholic,71,2010-01-31,4,1393,-1.854560091,38,Others,No,Yes,13.5072694,The Beatles - Hey Jude,Queen,Imagine Dragons - Believer,Billie Eilish - Bad Guy,Drake - Hotline Bling,Tokyo,Grammys 2023,Imagine Dragons - Believer,No,2010,31-40
Blues,Melancholic,42,2010-02-01,4,550,0.257427861,48,Male,Yes,No,3.261531221,Queen - Bohemian Rhapsody,Lofi tracks,Coldplay - Yellow,Billie Eilish - Bad Guy,Cardi B - WAP,NY,Oscar-winning movie soundtrack,Imagine Dragons - Believer,No,2010,41-50
Reggae,Melancholic,39,2010-02-02,4,825,-0.683186586,57,Non-Binary,Yes,No,2.305811721,Queen - Bohemian Rhapsody,Pop genre,Coldplay - Yellow,The Beatles - Hey Jude,Cardi B - WAP,Paris,Grammys 2023,Imagine Dragons - Believer,No,2010,51-60
Electronic/Dance,Energetic,21,2010-02-03,5,782,1.285047008,25,Male,No,No,3.948756653,The Beatles - Hey Jude,Queen,Taylor Swift - Shake it Off,Ed Sheeran - Shape of You,Imagine Dragons - Thunder,Tokyo,Billboard Top 50,Imagine Dragons - Believer,No,2010,19-30
Pop,Energetic,76,2010-02-04,1,1391,0.964881103,39,Female,Yes,No,2.85003,Queen - Bohemian Rhapsody,Queen,Taylor Swift - Shake it Off,Billie Eilish - Bad Guy,Imagine Dragons - Thunder,Paris,Grammys 2023,Adele - Hello,No,2010,31-40
Jazz,Relaxed,44,2010-02-05,3,753,0.762689535,13,Non-Binary,Yes,Yes,5.046770794,Coldplay - Yellow,Taylor Swift,Taylor Swift - Shake it Off,Queen - Bohemian Rhapsody,Imagine Dragons - Thunder,Tokyo,Grammys 2023,Imagine Dragons - Believer,No,2010,0-18
Electronic/Dance,Energetic,45,2010-02-06,1,956,0.49584224,56,Female,Yes,Yes,7.353416414,Queen - Bohemian Rhapsody,Beatles,Coldplay - Yellow,Queen - Bohemian Rhapsody,Justin Bieber - Baby,London,Grammys 2023,Adele - Hello,No,2010,51-60
Classical,Relaxed,8,2010-02-07,1,353,0.242593347,55,Female,Yes,Yes,11.9167676,Adele - Hello,Queen,The Beatles - Hey Jude,Ed Sheeran - Shape of You,Imagine Dragons - Thunder,LA,Grammys 2023,Billie Eilish - Bad Guy,No,2010,51-60
Hip-Hop/Rap,Melancholic,36,2010-02-08,4,546,-0.958868823,19,Male,Yes,No,0.803525989,Adele - Hello,Beatles,Coldplay - Yellow,The Beatles - Hey Jude,Drake - Hotline Bling,LA,Local Concert,Coldplay - Yellow,No,2010,19-30
Classical,Energetic,90,2010-02-09,4,1341,-1.855384422,54,Female,No,No,0.729361667,Imagine Dragons - Believer,Beatles,Taylor Swift - Shake it Off,Billie Eilish - Bad Guy,Justin Bieber - Baby,Tokyo,Local Concert,Taylor Swift - Willow,No,2010,51-60
Rock,Relaxed,54,2010-02-10,3,1149,-0.025143576,55,Female,No,No,3.257603618,The Beatles - Hey Jude,Taylor Swift,Imagine Dragons - Believer,Coldplay - Yellow,Justin Bieber - Baby,NY,Local Concert,Billie Eilish - Bad Guy,Yes,2010,51-60
Jazz,Melancholic,3,2010-02-11,2,1194,1.335390043,37,Others,Yes,Yes,9.803344635,Adele - Hello,Queen,Coldplay - Yellow,Queen - Bohemian Rhapsody,Imagine Dragons - Thunder,London,Local Concert,Queen - Bohemian Rhapsody,No,2010,31-40
Jazz,Relaxed,39,2010-02-12,3,485,-0.157239363,33,Female,Yes,No,2.796412449,Adele - Hello,Queen,Coldplay - Yellow,Billie Eilish - Bad Guy,Cardi B - WAP,NY,Coachella 2022,Imagine Dragons - Believer,No,2010,31-40
Hip-Hop/Rap,Energetic,11,2010-02-13,1,139,0.829529959,26,Others,No,No,3.062090445,Coldplay - Yellow,Beatles,Coldplay - Yellow,Billie Eilish - Bad Guy,Cardi B - WAP,NY,Billboard Top 50,Coldplay - Yellow,No,2010,19-30
Rock,Melancholic,28,2010-02-14,5,1431,-0.037536192,50,Others,Yes,Yes,13.65185492,Adele - Hello,Beatles,Adele - Hello,Queen - Bohemian Rhapsody,Ed Sheeran - Galway Girl,NY,Local Concert,Adele - Hello,No,2010,41-50
Rock,Relaxed,72,2010-02-15,4,676,-0.182293717,17,Female,No,No,2.968132521,Taylor Swift - Love Story,Queen,Coldplay - Yellow,Ed Sheeran - Shape of You,Justin Bieber - Baby,Paris,Coachella 2022,Billie Eilish - Bad Guy,No,2010,0-18
Classical,Relaxed,37,2010-02-16,1,838,-0.688860823,24,Others,Yes,Yes,8.170031086,Adele - Hello,Pop genre,The Beatles - Hey Jude,The Beatles - Hey Jude,Cardi B - WAP,Tokyo,Local Concert,Taylor Swift - Willow,Yes,2010,19-30
Jazz,Energetic,64,2010-02-17,3,257,-1.849983898,29,Non-Binary,No,No,1.737412349,Coldplay - Yellow,Queen,Adele - Hello,The Beatles - Hey Jude,Ed Sheeran - Galway Girl,Tokyo,Oscar-winning movie soundtrack,Imagine Dragons - Believer,No,2010,19-30
Classical,Energetic,50,2010-02-18,5,32,0.563726204,53,Male,Yes,No,2.783197744,Taylor Swift - Love Story,Rock classics,Taylor Swift - Shake it Off,Taylor Swift - Blank Space,Imagine Dragons - Thunder,Tokyo,Local Concert,Imagine Dragons - Believer,No,2010,51-60
R&B/Soul,Melancholic,81,2010-02-19,2,318,0.369848707,33,Others,No,No,3.475569117,Imagine Dragons - Believer,Pop genre,Coldplay - Yellow,Queen - Bohemian Rhapsody,Drake - Hotline Bling,London,Local Concert,Coldplay - Yellow,No,2010,31-40
Pop,Melancholic,58,2010-02-20,2,478,-1.442119011,70,Female,No,No,1.288746576,The Beatles - Hey Jude,Queen,Imagine Dragons - Believer,The Beatles - Hey Jude,Ed Sheeran - Galway Girl,NY,Billboard Top 50,Coldplay - Yellow,No,2010,61-70
Jazz,Relaxed,17,2010-02-21,4,874,-0.602421863,23,Others,Yes,Yes,6.678022475,The Beatles - Hey Jude,Queen,Coldplay - Yellow,Queen - Bohemian Rhapsody,Imagine Dragons - Thunder,London,Grammys 2023,Billie Eilish - Bad Guy,No,2010,19-30
Electronic/Dance,Energetic,94,2010-02-22,2,77,0.588421723,67,Others,Yes,No,2.793782083,The Beatles - Hey Jude,Pop genre,Coldplay - Yellow,The Beatles - Hey Jude,Ed Sheeran - Galway Girl,London,Coachella 2022,Imagine Dragons - Believer,No,2010,61-70
Rock,Energetic,5,2010-02-23,1,375,0.585744141,21,Non-Binary,Yes,Yes,9.085100908,Taylor Swift - Love Story,Rock classics,Taylor Swift - Shake it Off,Taylor Swift - Blank Space,Imagine Dragons - Thunder,LA,Oscar-winning movie soundtrack,Taylor Swift - Willow,No,2010,19-30
Country,Energetic,8,2010-02-24,3,23,-0.531394765,61,Male,Yes,No,2.262198911,Coldplay - Yellow,Pop genre,Imagine Dragons - Believer,The Beatles - Hey Jude,Imagine Dragons - Thunder,LA,Grammys 2023,Queen - Bohemian Rhapsody,No,2010,61-70
Classical,Relaxed,84,2010-02-25,1,328,-0.602296358,62,Female,No,Yes,11.14883277,Adele - Hello,Rock classics,Queen - Bohemian Rhapsody,Coldplay - Yellow,Justin Bieber - Baby,Tokyo,Billboard Top 50,Billie Eilish - Bad Guy,No,2010,61-70
Rock,Melancholic,42,2010-02-26,4,786,-0.525652834,28,Non-Binary,Yes,No,0.670911401,Taylor Swift - Love Story,Lofi tracks,Imagine Dragons - Believer,Ed Sheeran - Shape of You,Imagine Dragons - Thunder,LA,Local Concert,Billie Eilish - Bad Guy,No,2010,19-30
Electronic/Dance,Relaxed,72,2010-02-27,4,495,1.67896044,30,Non-Binary,Yes,Yes,9.514666721,The Beatles - Hey Jude,Taylor Swift,Imagine Dragons - Believer,The Beatles - Hey Jude,Imagine Dragons - Thunder,Paris,Local Concert,Queen - Bohemian Rhapsody,No,2010,19-30
R&B/Soul,Energetic,74,2010-02-28,3,1113,1.039380051,49,Non-Binary,Yes,No,3.85475911,The Beatles - Hey Jude,Rock classics,The Beatles - Hey Jude,Taylor Swift - Blank Space,Justin Bieber - Baby,London,Grammys 2023,Billie Eilish - Bad Guy,No,2010,41-50
Hip-Hop/Rap,Melancholic,99,2010-03-01,1,1434,-1.423136822,49,Non-Binary,No,No,3.109684398,Coldplay - Yellow,Pop genre,Adele - Hello,Queen - Bohemian Rhapsody,Ed Sheeran - Galway Girl,Tokyo,Billboard Top 50,Coldplay - Yellow,No,2010,41-50
Reggae,Melancholic,97,2010-03-02,1,335,-0.662074225,38,Female,Yes,No,3.93612838,The Beatles - Hey Jude,Pop genre,Taylor Swift - Shake it Off,Taylor Swift - Blank Space,Justin Bieber - Baby,Paris,Grammys 2023,Adele - Hello,No,2010,31-40
Pop,Relaxed,14,2010-03-03,3,1466,-1.022506949,47,Non-Binary,Yes,No,2.939499578,Imagine Dragons - Believer,Beatles,Adele - Hello,Taylor Swift - Blank Space,Imagine Dragons - Thunder,Tokyo,Oscar-winning movie soundtrack,Queen - Bohemian Rhapsody,No,2010,41-50
Hip-Hop/Rap,Melancholic,67,2010-03-04,2,138,-1.351095892,14,Male,Yes,Yes,9.777658617,Coldplay - Yellow,Rock classics,Adele - Hello,Billie Eilish - Bad Guy,Ed Sheeran - Galway Girl,London,Local Concert,Imagine Dragons - Believer,No,2010,0-18
Classical,Relaxed,3,2010-03-05,1,1105,1.891723312,51,Male,Yes,No,1.027654208,Imagine Dragons - Believer,Rock classics,Taylor Swift - Shake it Off,Coldplay - Yellow,Justin Bieber - Baby,Paris,Local Concert,Billie Eilish - Bad Guy,No,2010,51-60
R&B/Soul,Energetic,49,2010-03-06,1,411,-1.54207701,36,Female,No,Yes,6.38996993,The Beatles - Hey Jude,Rock classics,Adele - Hello,Coldplay - Yellow,Cardi B - WAP,Paris,Billboard Top 50,Adele - Hello,No,2010,31-40
Jazz,Relaxed,79,2010-03-07,5,415,-1.717404044,31,Female,Yes,No,2.21996425,Coldplay - Yellow,Lofi tracks,Adele - Hello,Queen - Bohemian Rhapsody,Drake - Hotline Bling,LA,Coachella 2022,Imagine Dragons - Believer,No,2010,31-40
R&B/Soul,Relaxed,38,2010-03-08,2,91,0.99305083,34,Others,Yes,No,1.472704459,Imagine Dragons - Believer,Lofi tracks,Queen - Bohemian Rhapsody,Coldplay - Yellow,Ed Sheeran - Galway Girl,Paris,Coachella 2022,Coldplay - Yellow,No,2010,31-40
R&B/Soul,Melancholic,95,2010-03-09,5,343,-1.462370396,54,Male,Yes,Yes,8.356253216,Imagine Dragons - Believer,Queen,Coldplay - Yellow,Coldplay - Yellow,Ed Sheeran - Galway Girl,Tokyo,Grammys 2023,Coldplay - Yellow,No,2010,51-60
Electronic/Dance,Relaxed,66,2010-03-10,4,1139,-1.960733866,39,Female,No,No,3.517322173,Coldplay - Yellow,Beatles,Taylor Swift - Shake it Off,The Beatles - Hey Jude,Imagine Dragons - Thunder,Paris,Oscar-winning movie soundtrack,Imagine Dragons - Believer,No,2010,31-40
Jazz,Melancholic,43,2010-03-11,5,517,1.42502365,45,Female,Yes,No,1.913328133,Coldplay - Yellow,Pop genre,Taylor Swift - Shake it Off,Taylor Swift - Blank Space,Justin Bieber - Baby,Paris,Coachella 2022,Queen - Bohemian Rhapsody,No,2010,41-50
Electronic/Dance,Relaxed,84,2010-03-12,3,1076,-0.646519679,30,Female,Yes,Yes,13.10994899,Adele - Hello,Pop genre,Coldplay - Yellow,Coldplay - Yellow,Justin Bieber - Baby,London,Oscar-winning movie soundtrack,Queen - Bohemian Rhapsody,No,2010,19-30
Reggae,Relaxed,81,2010-03-13,5,305,-0.037157211,64,Female,Yes,Yes,10.229762,Coldplay - Yellow,Queen,Taylor Swift - Shake it Off,Taylor Swift - Blank Space,Drake - Hotline Bling,NY,Coachella 2022,Queen - Bohemian Rhapsody,Yes,2010,61-70
Electronic/Dance,Melancholic,43,2010-03-14,4,83,0.287981277,56,Non-Binary,Yes,Yes,14.08184496,Queen - Bohemian Rhapsody,Rock classics,Queen - Bohemian Rhapsody,Coldplay - Yellow,Imagine Dragons - Thunder,Paris,Local Concert,Billie Eilish - Bad Guy,No,2010,51-60
Pop,Energetic,33,2010-03-15,2,1091,-1.549367974,45,Others,Yes,Yes,9.224812149,The Beatles - Hey Jude,Lofi tracks,Imagine Dragons - Believer,The Beatles - Hey Jude,Imagine Dragons - Thunder,LA,Coachella 2022,Adele - Hello,No,2010,41-50
Jazz,Relaxed,57,2010-03-16,4,400,-1.661712568,69,Male,Yes,Yes,9.735440586,Adele - Hello,Taylor Swift,Taylor Swift - Shake it Off,Billie Eilish - Bad Guy,Cardi B - WAP,NY,Grammys 2023,Taylor Swift - Willow,No,2010,61-70
Classical,Melancholic,86,2010-03-17,5,496,1.468394375,26,Female,No,Yes,6.369483287,Queen - Bohemian Rhapsody,Pop genre,Queen - Bohemian Rhapsody,Billie Eilish - Bad Guy,Cardi B - WAP,London,Coachella 2022,Coldplay - Yellow,No,2010,19-30
Hip-Hop/Rap,Relaxed,59,2010-03-18,4,1279,0.011111179,63,Others,Yes,No,3.562626619,Coldplay - Yellow,Rock classics,The Beatles - Hey Jude,The Beatles - Hey Jude,Cardi B - WAP,LA,Local Concert,Coldplay - Yellow,No,2010,61-70
Reggae,Energetic,65,2010-03-19,4,9,-0.028442631,67,Male,Yes,Yes,7.981617087,Queen - Bohemian Rhapsody,Taylor Swift,Coldplay - Yellow,Coldplay - Yellow,Ed Sheeran - Galway Girl,London,Local Concert,Coldplay - Yellow,No,2010,61-70
Hip-Hop/Rap,Relaxed,77,2010-03-20,4,650,0.994590418,56,Others,Yes,No,3.8698007,Coldplay - Yellow,Beatles,Queen - Bohemian Rhapsody,Queen - Bohemian Rhapsody,Cardi B - WAP,Tokyo,Grammys 2023,Imagine Dragons - Believer,No,2010,51-60
Rock,Energetic,69,2010-03-21,1,178,-1.308041873,35,Female,Yes,No,1.035045663,Taylor Swift - Love Story,Lofi tracks,Adele - Hello,Queen - Bohemian Rhapsody,Ed Sheeran - Galway Girl,London,Local Concert,Billie Eilish - Bad Guy,No,2010,31-40
Classical,Energetic,87,2010-03-22,1,756,-1.863825387,43,Female,No,No,2.481868397,Taylor Swift - Love Story,Queen,The Beatles - Hey Jude,Queen - Bohemian Rhapsody,Ed Sheeran - Galway Girl,Paris,Oscar-winning movie soundtrack,Imagine Dragons - Believer,No,2010,41-50
Reggae,Relaxed,9,2010-03-23,2,1464,0.342311326,46,Female,Yes,No,3.489217166,Adele - Hello,Pop genre,The Beatles - Hey Jude,Taylor Swift - Blank Space,Cardi B - WAP,Paris,Oscar-winning movie soundtrack,Adele - Hello,No,2010,41-50
Jazz,Relaxed,61,2010-03-24,3,993,-1.250072566,43,Non-Binary,Yes,No,2.507744742,The Beatles - Hey Jude,Lofi tracks,Taylor Swift - Shake it Off,Billie Eilish - Bad Guy,Imagine Dragons - Thunder,Tokyo,Billboard Top 50,Taylor Swift - Willow,No,2010,41-50
Electronic/Dance,Relaxed,24,2010-03-25,5,1327,-1.230078127,67,Male,Yes,No,2.545310121,Queen - Bohemian Rhapsody,Lofi tracks,Queen - Bohemian Rhapsody,Ed Sheeran - Shape of You,Cardi B - WAP,Tokyo,Local Concert,Queen - Bohemian Rhapsody,No,2010,61-70
Rock,Melancholic,47,2010-03-26,5,1102,1.843950075,63,Female,No,Yes,9.858496049,Imagine Dragons - Believer,Pop genre,Adele - Hello,Taylor Swift - Blank Space,Imagine Dragons - Thunder,LA,Billboard Top 50,Coldplay - Yellow,No,2010,61-70
Jazz,Energetic,28,2010-03-27,4,758,-1.350963182,49,Others,Yes,No,3.70679721,Taylor Swift - Love Story,Beatles,Adele - Hello,Queen - Bohemian Rhapsody,Cardi B - WAP,LA,Local Concert,Queen - Bohemian Rhapsody,No,2010,41-50
Blues,Energetic,92,2010-03-28,2,1330,-0.974580814,65,Others,Yes,No,0.917331519,Taylor Swift - Love Story,Beatles,Imagine Dragons - Believer,Coldplay - Yellow,Imagine Dragons - Thunder,NY,Grammys 2023,Coldplay - Yellow,No,2010,61-70
R&B/Soul,Energetic,40,2010-03-29,3,744,0.349058849,56,Non-Binary,Yes,No,3.089622019,Adele - Hello,Rock classics,Coldplay - Yellow,Coldplay - Yellow,Imagine Dragons - Thunder,LA,Coachella 2022,Imagine Dragons - Believer,No,2010,51-60
R&B/Soul,Energetic,57,2010-03-30,4,1171,-1.332006166,29,Male,Yes,No,0.931804643,Adele - Hello,Pop genre,Queen - Bohemian Rhapsody,Taylor Swift - Blank Space,Justin Bieber - Baby,NY,Coachella 2022,Coldplay - Yellow,No,2010,19-30
Rock,Energetic,8,2010-03-31,5,761,0.576898796,13,Non-Binary,Yes,Yes,11.01106704,Imagine Dragons - Believer,Lofi tracks,Coldplay - Yellow,Taylor Swift - Blank Space,Justin Bieber - Baby,NY,Local Concert,Coldplay - Yellow,No,2010,0-18
Rock,Melancholic,95,2010-04-01,3,127,-1.217904217,61,Female,Yes,No,1.478471907,The Beatles - Hey Jude,Rock classics,Queen - Bohemian Rhapsody,Billie Eilish - Bad Guy,Drake - Hotline Bling,London,Billboard Top 50,Adele - Hello,No,2010,61-70
Reggae,Melancholic,74,2010-04-02,1,822,0.12820916,19,Male,Yes,No,0.604839382,Adele - Hello,Taylor Swift,The Beatles - Hey Jude,Queen - Bohemian Rhapsody,Justin Bieber - Baby,Tokyo,Local Concert,Imagine Dragons - Believer,No,2010,19-30
Hip-Hop/Rap,Energetic,48,2010-04-03,4,538,-0.671886978,19,Non-Binary,Yes,Yes,7.017375536,Coldplay - Yellow,Taylor Swift,Coldplay - Yellow,Billie Eilish - Bad Guy,Cardi B - WAP,NY,Grammys 2023,Queen - Bohemian Rhapsody,No,2010,19-30
Reggae,Energetic,18,2010-04-04,5,808,0.306573009,22,Male,No,Yes,6.511947247,Adele - Hello,Rock classics,Adele - Hello,Queen - Bohemian Rhapsody,Drake - Hotline Bling,Tokyo,Local Concert,Billie Eilish - Bad Guy,No,2010,19-30
Hip-Hop/Rap,Relaxed,73,2010-04-05,2,929,0.294984843,19,Others,No,No,2.612754656,Imagine Dragons - Believer,Rock classics,The Beatles - Hey Jude,Coldplay - Yellow,Cardi B - WAP,Tokyo,Local Concert,Queen - Bohemian Rhapsody,No,2010,19-30
Rock,Relaxed,62,2010-04-06,1,371,-0.889926194,48,Female,No,Yes,13.99029374,Adele - Hello,Beatles,Queen - Bohemian Rhapsody,Ed Sheeran - Shape of You,Justin Bieber - Baby,LA,Local Concert,Coldplay - Yellow,No,2010,41-50
Electronic/Dance,Energetic,6,2010-04-07,2,685,-1.036719986,67,Male,Yes,No,3.609620791,The Beatles - Hey Jude,Beatles,Taylor Swift - Shake it Off,Coldplay - Yellow,Cardi B - WAP,Paris,Coachella 2022,Coldplay - Yellow,No,2010,61-70
